company,source_page,source_row,issue,detail
Clearstory,1,8,missing_website,
Axelor,1,9,missing_website,
,1,20,parse_failed,no_added_date
,1,22,parse_failed,no_added_date
Milkman Technologies,1,26,missing_website,
,1,27,parse_failed,no_added_date
Mercateam,1,30,missing_website,
GoComet,1,32,missing_website,
Knowledgehook,1,34,missing_website,
CONSTRA by HUVIAiR,1,42,missing_website,
,1,48,parse_failed,no_added_date
Shipper,1,53,missing_website,
1t5metFNMEMTR4,1,55,missing_website,
,1,58,parse_failed,no_added_date
M2030,1,64,missing_website,
,1,72,parse_failed,no_added_date
,1,76,parse_failed,no_added_date
Pensa Systems,1,77,missing_website,
CallPoint New Europe EAD,1,78,missing_website,
Findability Certified Professional,1,83,missing_website,
,1,84,parse_failed,no_added_date
ProjectManager,1,86,missing_website,
,1,88,parse_failed,no_added_date
,1,91,parse_failed,no_added_date
OmniRetail Africa,1,94,missing_website,
Engage3,1,95,missing_last_funding_type,
,1,96,parse_failed,no_added_date
ParallelDots,1,97,missing_last_funding_type,
Hover,1,99,missing_website,
Hover,1,99,missing_last_funding_type,
,1,100,parse_failed,no_added_date
,1,104,parse_failed,no_added_date
Group,1,105,missing_website,
,1,108,parse_failed,no_added_date
,1,109,parse_failed,no_added_date
,1,112,parse_failed,no_added_date
,1,113,parse_failed,no_added_date
SENRTJRRA,1,118,missing_last_funding_type,
,1,120,parse_failed,no_added_date
,1,121,parse_failed,no_added_date
RetaiICRM,1,123,missing_website,
,1,125,parse_failed,no_added_date
Voze,1,139,missing_last_funding_type,
MyTime,1,141,missing_last_funding_type,
ChapsVision,1,142,missing_last_funding_type,
Kilo,1,147,missing_website,
,1,153,parse_failed,no_added_date
,1,154,parse_failed,no_added_date
,1,156,parse_failed,no_added_date
,1,157,parse_failed,no_added_date
,1,158,parse_failed,no_added_date
,1,160,parse_failed,no_added_date
Miro,1,168,missing_website,
Osaro,1,170,missing_website,
,1,173,parse_failed,no_added_date
Katana Cloud Inventory,1,175,missing_website,
Tuyen dung Sapo,1,180,missing_website,
,1,181,parse_failed,no_added_date
ROI Hunter,1,182,missing_website,
,1,183,parse_failed,no_added_date
Reach Accountant,1,187,missing_website,
CLO Virtual Fashion,1,193,missing_website,
Smart Fabric,1,194,missing_last_funding_type,
Nyshex,1,197,missing_last_funding_type,
Regrello,2,2,missing_last_funding_type,
Source.ag,2,6,missing_website,
Janio Asia,2,16,missing_website,
OneRail,2,33,missing_last_funding_type,
Metacommerce,2,47,missing_website,
Maven Machines,2,49,missing_website,
eSUB Construction Software,2,51,missing_website,
OnPoint E-commerce,2,58,missing_website,
Bijak,2,64,missing_website,
ONES.com,2,65,missing_last_funding_type,
KiotViet,2,73,missing_website,
KiotViet,2,73,missing_last_funding_type,
,2,74,parse_failed,no_added_date
,2,75,parse_failed,no_added_date
byrd,2,78,missing_last_funding_type,
,2,79,parse_failed,no_added_date
,2,83,parse_failed,no_added_date
,2,87,parse_failed,no_added_date
,2,88,parse_failed,no_added_date
GreenPocket GmbH,2,89,missing_last_funding_type,
,2,91,parse_failed,no_added_date
tettballas,2,92,missing_website,
,2,95,parse_failed,no_added_date
,2,99,parse_failed,no_added_date
Tulip,2,100,missing_website,
Tulip,2,100,missing_last_funding_type,
,2,103,parse_failed,no_added_date
,2,104,parse_failed,no_added_date
,2,108,parse_failed,no_added_date
MixCart,2,109,missing_website,
,2,112,parse_failed,no_added_date
awork,2,115,missing_website,
,2,116,parse_failed,no_added_date
,2,120,parse_failed,no_added_date
Dropit,2,121,missing_website,
,2,124,parse_failed,no_added_date
,2,128,parse_failed,no_added_date
,2,136,parse_failed,no_added_date
,2,139,parse_failed,no_added_date
,2,140,parse_failed,no_added_date
,2,141,parse_failed,no_added_date
,2,142,parse_failed,no_added_date
,2,143,parse_failed,no_added_date
,2,144,parse_failed,no_added_date
,2,145,parse_failed,no_added_date
,2,146,parse_failed,no_added_date
,2,147,parse_failed,no_added_date
,2,148,parse_failed,no_added_date
,2,149,parse_failed,no_added_date
,2,150,parse_failed,no_added_date
,2,151,parse_failed,no_added_date
,2,152,parse_failed,no_added_date
,2,153,parse_failed,no_added_date
,2,154,parse_failed,no_added_date
,2,155,parse_failed,no_added_date
,2,156,parse_failed,no_added_date
,2,157,parse_failed,no_added_date
,2,158,parse_failed,no_added_date
,2,159,parse_failed,no_added_date
,2,160,parse_failed,no_added_date
,2,161,parse_failed,no_added_date
,2,162,parse_failed,no_added_date
,2,163,parse_failed,no_added_date
,2,164,parse_failed,no_added_date
,2,165,parse_failed,no_added_date
,2,166,parse_failed,no_added_date
,2,167,parse_failed,no_added_date
,2,168,parse_failed,no_added_date
,2,169,parse_failed,no_added_date
,2,170,parse_failed,no_added_date
,2,171,parse_failed,no_added_date
,2,172,parse_failed,no_added_date
,2,173,parse_failed,no_added_date
,2,174,parse_failed,no_added_date
,2,176,parse_failed,no_added_date
,2,177,parse_failed,no_added_date
,2,179,parse_failed,no_added_date
,2,181,parse_failed,no_added_date
Kiddom,2,182,missing_last_funding_type,
,2,183,parse_failed,no_added_date
,2,185,parse_failed,no_added_date
,2,187,parse_failed,no_added_date
Increff,2,188,missing_website,
,2,189,parse_failed,no_added_date
LINGXING Network Technology,2,192,missing_last_funding_type,
,2,193,parse_failed,no_added_date
6a5x,2,194,missing_last_funding_type,
Fluent Commerce,2,198,missing_website,
GreyOrange,3,1,missing_last_funding_type,
,3,2,parse_failed,no_added_date
,3,3,parse_failed,no_added_date
HostBooks Limited,3,4,missing_last_funding_type,
,3,5,parse_failed,no_added_date
dataplor,3,6,missing_last_funding_type,
Emulate,3,7,missing_website,
,3,8,parse_failed,no_added_date
Frontify,3,9,missing_last_funding_type,
LeanDNA,3,12,missing_last_funding_type,
Safesite,3,14,missing_last_funding_type,
bijnis,3,16,missing_last_funding_type,
Dispatchlt,3,17,missing_last_funding_type,
Worldly,3,18,missing_last_funding_type,
Onebrief,3,19,missing_last_funding_type,
Agrim,3,20,missing_last_funding_type,
Logiwa,3,21,missing_last_funding_type,
ifesca GmbH,3,22,missing_last_funding_type,
Afresh,3,23,missing_last_funding_type,
,3,25,parse_failed,no_added_date
,3,28,parse_failed,no_added_date
,3,31,parse_failed,no_added_date
Betterworks,3,32,missing_last_funding_type,
Rush ReCommerce,3,33,missing_website,
Hubilo,3,34,missing_last_funding_type,
Pando,3,35,missing_last_funding_type,
ARZERENRTIRA,3,37,missing_last_funding_type,
Company,3,39,missing_last_funding_type,
ImageDT BEE#E,3,40,missing_last_funding_type,
inVia Robotics,3,41,missing_last_funding_type,
Oro Inc,3,42,missing_last_funding_type,
Geniemode,3,48,missing_last_funding_type,
,3,49,parse_failed,no_added_date
Tjek,3,50,missing_last_funding_type,
VARStreet Inc.,3,51,missing_last_funding_type,
,3,52,parse_failed,no_added_date
SideChef,3,53,missing_last_funding_type,
Raft,3,54,missing_website,
Raft,3,54,missing_last_funding_type,
,3,55,parse_failed,no_added_date
Tiled,3,56,missing_last_funding_type,
jitiaei^TIRA,3,57,missing_last_funding_type,
,3,58,parse_failed,no_added_date
MMZA #NITR'&,3,59,missing_last_funding_type,
GearLaunch,3,60,missing_last_funding_type,
,3,61,parse_failed,no_added_date
AdAdapted,3,62,missing_last_funding_type,
fabric,3,63,missing_website,
fabric,3,63,missing_last_funding_type,
,3,64,parse_failed,no_added_date
cargo.one,3,65,missing_website,
cargo.one,3,65,missing_last_funding_type,
Stonly,3,66,missing_last_funding_type,
,3,67,parse_failed,no_added_date
MarketUP,3,68,missing_last_funding_type,
"Webgility, Inc",3,69,missing_last_funding_type,
TradeLink,3,70,missing_website,
TradeLink,3,70,missing_last_funding_type,
Javelot,3,71,missing_last_funding_type,
Lambent,3,72,missing_last_funding_type,
Anchanto,3,73,missing_last_funding_type,
Shipwell,3,74,missing_last_funding_type,
"Jul 28,2025 12:57 PM",3,75,missing_last_funding_type,
,3,76,parse_failed,no_added_date
,3,78,parse_failed,no_added_date
,3,79,parse_failed,no_added_date
,3,80,parse_failed,no_added_date
,3,81,parse_failed,no_added_date
,3,82,parse_failed,no_added_date
GoExpedi,3,83,missing_last_funding_type,
,3,84,parse_failed,no_added_date
,3,85,parse_failed,no_added_date
Sera Systems,3,86,missing_last_funding_type,
Tezign #J24,3,87,missing_last_funding_type,
enVista,3,89,missing_last_funding_type,
Curri,3,90,missing_last_funding_type,
,3,91,parse_failed,no_added_date
PlanRadar,3,92,missing_last_funding_type,
,3,94,parse_failed,no_added_date
,3,97,parse_failed,no_added_date
Verity,3,98,missing_last_funding_type,
Tradlinx,3,100,missing_last_funding_type,
Fresho,3,101,missing_last_funding_type,
Logixboard,3,102,missing_last_funding_type,
,3,103,parse_failed,no_added_date
ItrxxbnitrefAJ,3,106,missing_last_funding_type,
Altana,3,107,missing_website,
Altana,3,107,missing_last_funding_type,
Jugnu,3,108,missing_website,
Jugnu,3,108,missing_last_funding_type,
Partful,3,109,missing_last_funding_type,
Certified B Corp,3,110,missing_website,
Certified B Corp,3,110,missing_last_funding_type,
